title,artist_name,style,genre,description
Lobster Telephone,Dali Salvador,Surrealism,sculpture,"[i]Lobster Telephone[/i] (1936)  is a surrealist object, in which the artist combined items that are usually not associated with one another. The result is a strange new object, that is both humorous and threatening. For Dalí, these strange combinations revealed the hidden desires of the unconscious. Dalí was greatly influenced by the theories of Sigmund Freud: concepts of dreams, childhood memories, castration anxiety, and incestuous desires all played significant roles in his art. With the help of Freudian thought, Dalí developed a unique visual language, through which he could express his personal fears and obsessions.

Telephones and lobsters were recurring motifs in Dalí’s art. The telephone appears in many of Dalí’s paintings from the 1930s, and it is usually accompanied by a food item: telephone and fish in [url href=https://www.wikiart.org/en/salvador-dali/mountain-lake][i]Mountain Lake[/i][/url] (1938), telephone and fried eggs in [url href=https://www.wikiart.org/en/salvador-dali/the-sublime-moment][i]The Sublime Moment[/i][/url] (1938) and telephone and oysters in [url href=https://www.wikiart.org/en/salvador-dali/the-enigma-of-hitler][i]The Enigma of Hitler[/i][/url] (1939). In [i]Lobster Telephone[/i] that was initially called [i]Aphrodisiac Telephone[/i], Dalí made a strong analogy between food and sex: the lobster is placed in such a way that its sexual organs cover the mouthpiece of the telephone. Lobsters along with food like oysters, caviar, and truffles were generally considered an aphrodisiac. However, the lobster can also be seen as menacing: according to one interpretation, the lobster with its small and sharp claws represents a symbolic instrument of castration. In 1939 the artist created a multimedia experience [url href=https://www.wikiart.org/en/salvador-dali/the-dream-of-venus-for-the-new-york-world-s-fair-1939][i]The Dream of Venus for the New York World’s Fair[/i][/url] (1939), in which he dressed live nude models in garments made from fresh seafood. Dalí used the lobster to cover the female sex organs of his models, which possibly expressed his personal fears of female sexuality.

Dalí made [i]Lobster Telephone[/i] for Edward James, an English poet and leading collector of Surrealist art. This work, which belongs to the Tate Museum collection, is one of four models Dalí created for James. For the Tate version, Dalí used a telephone made by the Bell Company in Antwerp, Belgium, and a Siemens handset made in London. He made an additional series of six lobster telephones in shades of off-white like [url href=https://www.wikiart.org/en/salvador-dali/aphrodisiac-telephone-1938][i]Aphrodisiac Telephone[/i][/url] (1938) at the Minneapolis Institute of Art.

The idea for the [i]Lobster Telephone[/i] traces back to a series of drawings Dalí made for American Weekly in 1935. One of the drawings, [i]New York Dream - Man Finds Lobster in Place of Phone[/i] shows a man reaching for the phone and realizing in horror that it is a lobster. In 1938, Dalí contributed an entry called [i]Téléphone Aphrodisiaque[/i] to the [i]Dictionnaire abrégé du surréalisme[/i] (Abridged Dictionary of Surrealism) with a drawing of a lobster telephone surrounded by flies. A similar drawing was featured in his autobiography [i]The Secret Life of Salvador Dali[/i] in which he wrote: “'I do not understand why, when I ask for a grilled lobster in a restaurant, I am never served a cooked telephone; I do not understand why champagne is always chilled and why on the other hand telephones, which are habitually so frightfully warm and disagreeably sticky to the touch, are not also put in silver buckets with crushed ice around them.”"
The Dream of Venus for the New York World’s Fair,Dali Salvador,Surrealism,installation,"Long before installation art was the norm, Salvador Dali created perhaps the first example at the 1939 World’s Fair that was held in Flushing Meadows in Queens, New York.

The 1939 World’s Fair sounds incredible. Franklin Delano Roosevelt and Albert Einstein spoke, Vermeer’s [url href=https://www.wikiart.org/en/johannes-vermeer/the-milkmaid][i]The Milkmaid[/i][/url] (c.1660) and the [i]Magna Carta[/i] were on display, Westinghouse buried a time capsule to be open in 6939 AD (some contents include writings by Einstein and Thomas Mann, a pack of Camel cigarettes, microfilm with texts, seeds, and a Mickey Mouse watch). The fair debuted color photography, nylon, air conditioning, the View-Master and Smell-o-Vision, and had “zones” debuted “future technologies” by companies like GM and Frigidaire.

Dali’s pavilion was entitled [i]Dream of Venus[/i], and it created a surrealist dream world. Patrons entered through a pair of women’s legs (John Malkovich copied this for his Lisbon Nightclub called [i]Lux[/i]) and purchased tickets from a fish head booth. Dali designed two pools where topless sirens and mermaids swam about, women dressed as pianos and lobsters cavorted amongst paintings and props in front of a giant four-paneled painting by Dali and other tableaus with costumes designed by Dali.

Sadly, creative compromise happened even then. The fair organizers made major modifications to Dali’s original ideas, which caused him to dramatically write a pamphlet called [i]Declaration of the Independence of the Imagination and the Rights of Man to His Own Madness[/i]. Although Dali wasn’t thoroughly satisfied, the exhibition brought [url href=https://www.wikiart.org/en/artists-by-art-movement/surrealism]Surrealism[/url] and Dali’s creative ideas out of the artistic world and to the masses."
Ballerina in a Death's Head,Dali Salvador,Surrealism,symbolic painting,"This painting is an example of Dali’s paranoiac-critical method, developed in the early 1930s. The aspect of paranoia that Dalí was interested in was the ability of the brain to perceive links between things which rationally are not linked. Dalí described the paranoiac-critical method as a ""spontaneous method of irrational knowledge based on the critical and systematic objectivity of the associations and interpretations of delirious phenomena."" Employing the method when creating a work of art uses an active process of the mind to visualize images in the work and incorporate these into the final product. An example of the resulting work is a double image or multiple image in which an ambiguous image can be interpreted in different ways."
Young Virgin Auto-Sodomized by the Horns of Her Own Chastity,Dali Salvador,Surrealism,symbolic painting,"This painting documents Dali's interest in exaggerating the representation of the female form and the possibilities of an abstracted background. The main force within the painting is clearly its sexual allusion: the horned shapes hovering around the woman are overtly phallic, and the painting's title offers a direct clue about the aggressively sexual tone of the work. Dali's preoccupation with the phallus was a central theme throughout his career, though the degrees to which his works were representational or abstract differed period to period."
The Disintegration of the Persistence of Memory,Dali Salvador,Surrealism,landscape,"Dali repeated his theme of the melting watches many times, most notably in the 1950’s with The Disintegration of the Persistence of Memory. Although it measures a small 10 by 13 inches, it is full of allusions to the first painting, albeit with a flooded landscape, depicting the changes in the landscape from both above and below the water. Whereas some interpretations of the first work claim that it represents Einstein’s theory of relativity, interpretations of this work state that it represents the newly emerging ideas of quantum mechanics and the coming of the digital age. Later in his career Dali also created many lithographs and sculptures with variants on the theme of soft watches."
The Discovery of America by Christopher Columbus,Dali Salvador,Surrealism,history painting,"One of a number of large paintings Dali completed in this era The Discovery of America by Christopher Columbus stands a massive 14 feet tall by 9 feet wide. The painting was commissioned by Huntington Hartford, an American businessman, who was heir to the A&P Supermarket, for the opening of his museum, Gallery of Modern Art, in New York. The museum was located on Columbus circle, hence the inspiration for the subject of the painting. As a devout Roman Catholic, Dali portrayed Columbus as the Christian savior, bringing the true church and salvation to the new world. The painting now resides at the Salvador Dali Museum, in St. Petersburg, Florida."
"Lazarus, come forth - Lazare, veni foras (John 11:44)",Dali Salvador,"Abstract Expressionism, Symbolism",religious painting,"As with all of Dali's work, there is a dream-like quality here. His image of Lazarus appeals to the fear of death and decay within all living creatures, but has an energy that speaks of life as well. Dali is known for his use of symbolism, but there is not much that is symbolic in this picture. It is more impressionistic, suggesting as it does both death and life in a single image."
Antequam exhires de vulva sactificavite (Jeremiah 1:5),Dali Salvador,"Expressionism, Symbolism",religious painting,"The Biblia Sacra was based on the Holy Bible written in Latin Vulgate text, there are five volumes of a 105 lithographs taken from the original paintings that Dali completed between 1963 and 1964. The original illustrations were completed with a combination of gouache, watercolor, ink, and pastel and incorporated a wide variety of religious, historical and mythological imagery. They were intense both in color and in images. While the completed works earned Dali audiences with both Popes Pius XII and John XXIII, the search for the renewal of Dali's faith was ultimately unfulfilled."
Aliyah,Dali Salvador,Surrealism,abstract,"This Original Color Lithograph Edition: 178/250 on Paper is by Salvador Dali (1904-1989). It is part of the series of graphic work entitled Aliyah dates from 1968. The series was commissioned by Shorewood Publishers for the 20th anniversary of the state of Israel in 1967. The set is comprised of 25 mixed-media paintings highlighting important religious, historical and political moments in Jewish history. The series, called “Aliyah, the Rebirth of Israel,” received a special endorsement from Israel’s first Prime Minister, David Ben-Gurion. Shorewood exhibited the original series in a New York museum, but each piece was then sold to private collectors. Their locations remain largely unknown. 250 sets of prints of the collection were made.
Dali did not have a connection to Judaism, but succeeded in grasping the connection between the Bible, the Jewish people and its history, and the land of Israel. Every painting is accompanied by a biblical verse ascribed to each work by the artist. Subjects range from broadly biblical to contemporary.
In order to illustrate the various meanings of the Hebrew word ""Aliyah"", which means literally ""migration to the land of Israel"", the artist took inspiration from the Old Testament as well as contemporary history. As usual in Dalí's work, the pieces also contain elements from his own iconography.
This particular lithograph depicts the Holocaust and is traced back to a Psalms 88:7 quotation: “Thou hast laid me in the nethermost pit, in dark places, in the deeps” This quotation from Psalms is fittingly used by Dali in his second distinctly Shoah lithograph. Note the mourning figure, the swastikas, the dead body, the blood, the seated figure in mourning that echoes many such Jeremiah-like images, and the Jewish Star of David."
Assuerus Falls in Love with Esther - Assueres adamavit Esther (Esther 2:17),Dali Salvador,"Expressionism, Symbolism",religious painting,"Dali was profoundly influenced by two things that shaped his art and his approach to life: Freud's theory of the Unconscious, and the unconscious dream imagery of Surrealism. His paintings (and lithographs) appear as dreamlike fantasies - as this image clearly shows. At the same time, the technique he used was precise, realistic and highly skilled. In this lithograph a dream-like Esther has taken up residence in the mind of Ahasuerus, floating there, occupying all his thoughts - and in a sense trapped there."
The Hallucinogenic Toreador,Dali Salvador,"Neoclassicism, Surrealism",symbolic painting,"Dali illustrates his passion for bullfighting in The Hallucinogenic Toreador, his wife Gala, however, did not. Her face is pictured in the top left corner of the piece, with a look of condemnation, illustrating her hatred for the practice. The statue of Venus de Milo is seen 28 times in the painting, which is not an innocuous addition. In order to see the face of the toreador, you must look past the first illustration of the statue. The face lies in the second Venus de Milo. Upon closer inspection, the breasts of the statue make up the nose of the bullfighter, and their dresses make up his red scarf, and white shirt, tied with a green necktie. When the painting was first exhibited in New York City, it was accompanied by an illustration labeled “how to see the toreador,” which gave explicit instructions on how to see the hidden image of the toreador in the painting."
